sociale,kitchen,classy,sport,gamer,tvaddicted,safefood,animali,nome,junkfood,road,travel
1,80,48,64,32,32,32,16,ackhappy,0,0,0
1,48,64,64,64,80,32,48,annamaria.muellerbartl,64,64,32
1,266,342,76,76,152,0,76,annamariadamm,0,190,38
8,60,60,60,75,75,15,75,anna_maria.sieklucka,60,60,15
3,0,5,0,0,0,0,0,barbozajason,0,5,0
2,128,48,0,48,32,32,16,barefootfitjess,32,32,16
1,0,0,0,16,32,0,0,bergenbeatrix,0,32,16
1,57,95,76,114,114,38,38,boxingtrend,38,95,114
2,19,0,38,0,0,0,247,carr_charles,0,38,76
3,0,0,12,0,0,0,0,charlescarrollms.pgcps,0,12,12
3,16,0,16,16,16,64,0,charliesnailexpress,16,16,0
1,84,42,21,21,105,0,0,chris.seery.poofy,0,21,126
4,175,245,315,70,70,70,490,chrisseery,70,280,140
1,10,10,20,10,10,0,0,cindyschaefferphotography,0,20,20
1,0,0,110,0,0,0,0,craig.kimbrel.daily,0,0,0
1,0,0,0,0,0,0,0,craigkimbrel,0,0,0
1,56,112,308,140,140,0,56,danidanycabrass,28,56,112
1,0,141,282,282,282,0,235,danielbrassi,0,517,517
1,20,10,10,0,0,0,10,davidfinley12,0,10,0
2,0,12,24,36,24,0,0,douglas__brown,0,12,12
1,50,0,0,75,75,0,50,dylanchristopher,75,125,75
3,64,64,0,16,16,0,0,erin.jonesxx,0,16,0
1,0,0,0,0,20,0,0,erinjones.x,10,10,0
2,660,462,0,0,66,66,66,erinnjones_,198,66,132
8,84,294,84,84,84,0,0,erinnjones__,0,294,336
2,88,88,0,44,66,0,66,fivefootmonsterxo,22,22,0
1,39,0,0,0,0,0,65,furynaox,26,13,0
1,60,0,0,0,0,0,0,hmbartglass,0,135,30
1,48,144,16,64,64,16,48,howardamorrison,0,80,64
4,12,6,0,0,0,0,0,jacki.esteele,0,0,0
1,66,858,528,66,132,0,0,jackiesteelephoto,0,132,66
5,126,42,21,105,105,21,21,jackie_steele_31,42,42,42
2,30,60,15,45,90,0,15,janicecoelho,0,60,30
2,330,396,726,396,462,132,198,jax_steele,0,330,330
1,8,0,0,16,16,0,0,jennifer_wolfe,0,8,8
1,76,171,38,57,57,0,38,jenn_jonesxo,0,38,19
1,2,0,0,0,0,0,2,jessedasvirgens,0,4,4
1,60,60,60,60,90,15,120,jjlkfi,60,60,60
1,12,24,0,24,36,0,0,jjonescurl,0,60,60
1,19,19,19,19,57,0,19,johnalexanderschott,19,0,0
1,17,17,51,0,0,0,51,johnscottyoga,0,17,34
1,54,18,90,72,90,18,36,josephrjennings,0,72,72
2,108,144,36,180,180,36,0,julianne_miller,72,72,0
1,42,21,147,63,84,0,63,juliomillsvt,0,84,63
1,0,105,140,105,105,0,0,juli_anne_miller,0,70,70
1,15,15,45,15,15,0,60,jwolfe059,0,60,45
2,12,0,0,0,0,0,0,karl.hacker,0,0,0
1,0,2,0,2,2,0,2,karl_hacker,0,2,0
4,0,0,42,0,42,0,84,kathleenemiller,0,0,0
1,0,18,36,36,36,18,36,katmillerpainting,36,36,18
1,273,78,0,0,39,117,39,lindagualtieri,39,390,0
0,0,0,0,0,0,0,0,lindagualtieri_,0,1,1
1,45,0,0,0,0,0,0,littlemissashleyy,0,30,0
1,5,0,0,0,15,0,0,louisebakermusic,5,15,0
1,33,33,99,0,33,0,99,malibulives,0,66,33
2,592,222,0,148,259,74,37,mamamiatsang,222,74,74
6,18,18,18,72,72,0,0,marika_annarumma,0,36,36
1,52,26,26,26,78,0,234,mhopp7,52,182,78
1,0,0,0,0,0,0,0,michigan_photo_girl,0,30,10
2,90,36,18,90,90,18,36,ms.pandap,18,0,0
3,20,10,0,10,10,0,0,murphy_victoria_,0,0,0
2,0,0,14,0,0,0,56,m_matheu,0,42,0
1,0,30,20,0,0,0,0,nicho1as.rivera,0,20,10
1,116,145,145,174,203,0,87,nicholasrivera__,0,174,261
1,0,21,42,0,0,0,189,nickrivera14,0,63,42
1,90,0,18,0,0,0,0,patheophilo,0,36,36
1,10,0,0,20,20,0,0,patricia_gary__,0,20,0
1,0,65,0,0,0,0,13,patrick.keating,0,26,13
1,0,48,0,16,16,0,0,patrickkeating_,0,32,32
7,0,0,69,0,0,23,230,pattykayx,0,0,0
0,64,0,64,0,0,32,32,prestonsvalues,32,256,64
1,203,87,145,116,145,29,58,rainbowhawkstone198833,29,203,0
